Quels sont les trois axes de la stratégie globale de la promotion du dépistage du VIH ?,"Le traitement préventif, le traitement postexposition et la prise en charge globale et rapide des personnes infectées."
À quelles populations spécifiques le dépistage du VIH est-il particulièrement recommandé ?,"Aux hommes ayant des rapports sexuels avec des hommes, aux usagers de drogues par injection et aux personnes originaires d'Afrique subsaharienne ou des Caraïbes."
Quels sont les symptômes évocateurs d'une primo-infection au VIH ?,"Fièvre, fatigue, maux de tête, sueurs nocturnes, angine, adénopathies (gonflement des ganglions) et éruption cutanée."
Quelle est la différence principale entre le VIH-1 et le VIH-2 ?,"Le VIH-1 est le plus répandu (plus de 95% des infections), tandis que le VIH-2 se retrouve surtout en Afrique de l'Ouest."
Quel test est utilisé en laboratoire pour confirmer un dépistage du VIH positif ?,Le test Western Blot est utilisé comme test de confirmation pour détecter d'autres types d'anticorps.
"Dans la cinétique des marqueurs d'infection au VIH, quel est le premier marqueur à apparaître après l'exposition ?","L'ARN plasmatique du VIH est le premier marqueur détectable, environ 10 jours après l'exposition."
"Quel antigène est détecté par les tests de 4ème génération, en plus des anticorps ?",L'antigène p24.
Quel est le délai de fiabilité pour un autotest VIH après une prise de risque ?,L'autotest est considéré comme fiable s'il est réalisé 3 mois après la dernière prise de risque.
Que faut-il faire si un autotest VIH est positif ?,Le résultat doit être impérativement confirmé par un test de dépistage en laboratoire (test Elisa de 4ème génération).
Comment fonctionne un test rapide d'orientation diagnostique (TROD) ?,"Il détecte les anticorps anti-VIH-1 et anti-VIH-2 à partir d'une goutte de sang prélevée au bout du doigt, avec un résultat en moins de 30 minutes."
Quelle est la principale précaution à prendre avant de réaliser un autotest VIH salivaire (par ex. OraQuick) ?,Il ne faut pas manger ou boire dans les 15 minutes précédant la réalisation.
"Sur un autotest VIH, l'apparition de la bande de contrôle (témoin) est indispensable pour _____.",garantir le bon fonctionnement du test
"Pour qui le dispositif ""MON TEST IST"" est-il accessible ?","Il est accessible pour toute personne de plus de 18 ans, sans ordonnance, prise en charge à 100% par l'Assurance maladie."
"Pour quelles infections le dispositif ""MON TEST IST"" permet-il un dépistage ?","VIH, hépatite B, hépatite C et syphilis, en plus du dépistage des chlamydiae et gonocoques pour les moins de 26 ans."
Quelles sont les conditions pour obtenir gratuitement des préservatifs en pharmacie ?,"Être âgé de moins de 26 ans ou être bénéficiaire de l'AME, en présentant une carte Vitale, une attestation de droits ou une pièce d'identité."
