Quelle est la cause du zona ?,"Il correspond à la réactivation du virus varicelle-zona (VZV), contracté dans l'enfance (varicelle) et resté à l'état latent dans les ganglions sensitifs."
Dans quelle famille de virus le virus varicelle-zona (VZV) est-il classé ?,Il appartient à la famille des Herpesviridae.
"Quels sont les signes prodomiques locaux du zona, présents dans 90% des cas durant la phase aiguë ?","Des démangeaisons, des picotements et des douleurs d'intensité variable."
"Après les signes prodomiques, comment débute l'éruption du zona ?",Par l'apparition d'un placard érythémateux unilatéral dessinant un trajet nerveux.
En combien de temps les vésicules du zona sèchent-elles ?,"Elles sèchent en 7 à 10 jours, laissant place à des cicatrices."
Comment sont décrites les douleurs neuropathiques intenses du zona ?,"Elles peuvent être violentes, ""en coup de poignard"", ou ressenties comme des décharges électriques."
Le zona guérit le plus souvent en _____ semaines et les douleurs disparaissent en 1 mois.,2 à 3
Quelle est la localisation la plus fréquente du zona (50% des cas) ?,"La région intercostale ou dorsolombaire, se présentant en demi-ceinture."
Quelle complication oculaire grave peut entraîner un zona ophtalmique ?,"Une kératite, une uvéite ou une névrite optique."
Quel est le principal facteur de risque favorisant la réactivation du virus VZV ?,L'immunodépression.
Citez trois situations ou conditions pouvant altérer l'immunité et augmenter le risque de zona.,"Infection par le VIH, cancer, leucémie, prise de médicaments immunosuppresseurs, corticoïdes au long cours, ou greffe."
"Outre l'immunodépression et l'âge, citez deux autres facteurs favorisants reconnus pour le zona.","Le stress physique ou psychique, le sexe féminin et le diabète."
Sur quoi repose essentiellement le diagnostic du zona ?,"Il est essentiellement clinique, basé sur l'intensité des douleurs et les lésions typiques."
La survenue d'un zona chez un adulte jeune impose la recherche d'une éventuelle _____.,séropositivité au VIH
Quelle est la principale complication du zona ?,La persistance de douleurs postzostériennes.
Définition : Douleurs postzostériennes,Douleurs neuropathiques chroniques persistant au-delà de 3 mois après le début de l'éruption causée par le zona.
"Quelle complication est plus fréquente dans le zona ophtalmique, liée au grattage des lésions ?",La surinfection bactérienne par un streptocoque ou un staphylocoque.
"Un patient atteint de zona est-il contagieux ? Si oui, quelle maladie peut-il transmettre et à qui ?","Oui, il peut transmettre la varicelle (et non le zona) à une personne ne l'ayant jamais eue."
Comment se fait la transmission du virus VZV à partir d'un patient atteint de zona ?,Par contact direct avec le liquide contenant les particules virales présentes dans les vésicules.
"Après une primo-infection (varicelle), le VZV gagne les ganglions des racines nerveuses sensitives pour y persister à l'état _____.",latent
Quel est le mécanisme d'action des antiviraux comme l'aciclovir dans le traitement du zona ?,"Une fois triphosphorylés, ils inhibent l'ADN polymérase virale et s'incorporent à l'ADN viral, bloquant sa réplication."
"Quel type d'analgésiques est souvent nécessaire, en plus du paracétamol, pour soulager les douleurs en phase aiguë du zona ?",Des antalgiques opiacés.
"Comment les gabapentinoïdes (gabapentine, prégabaline) agissent-ils sur les douleurs postzostériennes ?","Ils bloquent les canaux calciques voltage-dépendants, inhibant la libération de neurotransmetteurs impliqués dans la douleur."
Quel est le double mécanisme d'action des antidépresseurs tricycliques sur les douleurs postzostériennes ?,Ils augmentent les taux de sérotonine/noradrénaline et bloquent les canaux sodiques/calciques des neurones.
Quel est l'objectif du traitement antiviral dans la prise en charge du zona ?,"Réduire la phase initiale douloureuse, limiter l'apparition de nouvelles lésions et minimiser le risque de complications algiques."
Le traitement antiviral du zona est-il systématique ?,"Non, sa mise en place dépend de l'âge, du statut immunitaire, de la localisation et des facteurs de risque de douleurs postzostériennes."
Citez trois situations où un traitement antiviral doit être instauré pour un zona.,"Patients de plus de 50 ans, patients immunodéprimés, ou en cas de zona ophtalmique."
Dans quel délai maximal après l'éruption un traitement antiviral doit-il être instauré pour être le plus efficace ?,Dans les 72 heures.
Quels soins locaux sont recommandés pour les lésions de zona en phase aiguë ?,"Une douche 1 à 2 fois par jour à l'eau tiède avec un produit lavant doux, et un séchage par tamponnement."
Pourquoi l'utilisation d'ibuprofène ou d'aspirine est-elle contre-indiquée en cas de zona ?,Ils augmentent le risque de complications infectieuses cutanées (et de syndrome de Reye pour l'aspirine).
"Chez un patient immunocompétent de plus de 50 ans, quel traitement antiviral oral est préconisé ?",Le valaciclovir (1g 3x/j) ou le famciclovir (500mg 3x/j) pendant 7 jours.
Quel traitement antiviral et par quelle voie est recommandé chez un patient immunodéprimé atteint de zona ?,Un traitement par aciclovir par voie intraveineuse (10 mg/kg toutes les 8h) en milieu hospitalier.
Un zona maternel pendant la grossesse expose-t-il le fœtus au risque d'infection congénitale ?,"Non, contrairement à la varicelle, car c'est une maladie sans virémie."
"En cas de surinfection cutanée peu étendue d'un zona, quel traitement local est préconisé ?",La mupirocine (Mupiderm) en application locale 2 à 3 fois par jour pendant 5 jours.
Le zona ophtalmique est considéré comme une urgence médicale nécessitant un examen ophtalmique et l'instauration d'un traitement antiviral dans les _____ heures.,48
Quel antidépresseur tricyclique est le traitement de référence pour les douleurs postzostériennes rebelles ?,L'amitriptyline (Laroxyl).
Quel antiépileptique a une indication spécifique dans le traitement des douleurs postzostériennes chez l'adulte ?,La gabapentine (Neurontin).
"Quel traitement local en emplâtre est recommandé en première ligne pour les douleurs postzostériennes, notamment chez la personne âgée ?",Les emplâtres à base de lidocaïne à 5% (Versatis).
Quelle est la durée maximale d'application par 24 heures pour un emplâtre de lidocaïne (Versatis) ?,"12 heures maximum, avec un intervalle de 12 heures entre deux applications."
Pourquoi le valaciclovir et le famciclovir sont-ils administrés moins souvent que l'aciclovir par voie orale ?,Car leur biodisponibilité est meilleure que celle de l'aciclovir.
Chez quel type de patient faut-il particulièrement veiller à un apport hydrique suffisant lors d'un traitement par aciclovir ou valaciclovir ?,"Chez le patient âgé ou l'insuffisant rénal, en raison de la néphrotoxicité de ces médicaments."
"Citez deux effets indésirables neuropsychiques des antiviraux, plus fréquents chez le sujet âgé ou insuffisant rénal.","Confusion, hallucinations, myoclonies ou convulsions."
Citez trois effets indésirables atropiniques des antidépresseurs tricycliques.,"Sécheresse buccale, constipation, troubles visuels, rétention urinaire, ou états confusionnels."
"À quel risque la gabapentine et la prégabaline peuvent-elles exposer, même aux doses thérapeutiques ?","Elles peuvent induire une pharmacodépendance, un mésusage ou un abus."
Quel vaccin contre le zona est désormais recommandé par la HAS depuis mars 2024 ?,Le vaccin Shingrix.
Le vaccin Shingrix est-il un vaccin vivant atténué ?,"Non, il combine un antigène spécifique du VZV avec un système adjuvant."
Quel est le schéma vaccinal complet pour le vaccin Shingrix ?,Deux doses espacées de 2 mois.
Chez quelles populations la vaccination par Shingrix est-elle recommandée et prise en charge ?,"Chez les adultes de 65 ans et plus, et ceux de 18 ans et plus avec un risque accru de zona par défaillance immunitaire."
"Dans le cas de Mme B. (68 ans, ClCr 53 ml/min), la posologie de valaciclovir 1000mg 3x/j est-elle correcte ?","Oui, car sa clairance de la créatinine est supérieure à 50 ml/min."
"Pour un patient avec une insuffisance rénale modérée, quel intervalle entre les prises de paracétamol/codéine doit être respecté ?",Un intervalle de 8 heures.
Pourquoi doit-on particulièrement insister sur une bonne hydratation chez une patiente insuffisante rénale traitée par valaciclovir ?,Pour prévenir la déshydratation qui aggraverait l'insuffisance rénale et majorerait le risque de toxicité neurologique du valaciclovir.
L'association d'un antiseptique et d'une antibiothérapie locale pour une surinfection de zona est-elle recommandée ?,"Non, car elle n'apporte pas de bénéfice et expose à un risque d'allergie ou de dermite irritative."
